Sample ID	iCluster
TCGA-E7-A3X6	10
TCGA-E7-A3Y1	27
TCGA-E7-A4IJ	10
TCGA-E7-A4XJ	27
TCGA-E7-A519	27
TCGA-E7-A541	14
TCGA-E7-A5KE	10
TCGA-E7-A5KF	25
TCGA-E7-A677	10
TCGA-E7-A678	27
TCGA-E7-A6MD	25
TCGA-E7-A6ME	22
TCGA-E7-A6MF	12
TCGA-E7-A7DU	7
TCGA-E7-A7DV	3
TCGA-E7-A7PW	10
TCGA-E7-A7XN	27
TCGA-E7-A85H	17
TCGA-E7-A8O7	7
TCGA-E7-A97P	27
TCGA-E7-A97Q	17
TCGA-FD-A3B3	20
TCGA-FD-A3B4	27
TCGA-FD-A3B5	7
TCGA-FD-A3B6	27
TCGA-FD-A3B7	20
TCGA-FD-A3B8	20
TCGA-FD-A3N5	27
TCGA-FD-A3N6	27
TCGA-FD-A3NA	10
TCGA-FD-A3SJ	13
TCGA-FD-A3SL	20
TCGA-FD-A3SM	10
TCGA-FD-A3SN	27
TCGA-FD-A3SO	27
TCGA-FD-A3SP	20
TCGA-FD-A3SQ	20
TCGA-FD-A3SR	10
TCGA-FD-A3SS	27
TCGA-FD-A43N	13
TCGA-FD-A43P	20
TCGA-FD-A43S	20
TCGA-FD-A43U	20
TCGA-FD-A43X	7
TCGA-FD-A43Y	10
TCGA-FD-A5BR	10
TCGA-FD-A5BS	20
TCGA-FD-A5BT	3
TCGA-FD-A5BU	27
TCGA-FD-A5BV	10
TCGA-FD-A5BX	3
TCGA-FD-A5BY	27
TCGA-FD-A5BZ	10
TCGA-FD-A5C0	13
TCGA-FD-A5C1	27
TCGA-FD-A62N	3
TCGA-FD-A62O	10
TCGA-FD-A62P	10
TCGA-FD-A62S	10
TCGA-FD-A6TA	10
TCGA-FD-A6TB	20
TCGA-FD-A6TC	13
TCGA-FD-A6TD	20
TCGA-FD-A6TE	13
TCGA-FD-A6TF	20
TCGA-FD-A6TG	20
TCGA-FD-A6TH	13
TCGA-FD-A6TI	20
TCGA-FD-A6TK	20
TCGA-FJ-A3Z7	20
TCGA-FJ-A3Z9	27
TCGA-FJ-A3ZE	7
TCGA-FJ-A3ZF	13
TCGA-FJ-A871	3
TCGA-FT-A3EE	10
TCGA-FT-A61P	17
TCGA-G2-A2EF	27
TCGA-G2-A2EJ	27
TCGA-G2-A2EK	20
TCGA-G2-A2EL	8
TCGA-G2-A2EO	27
TCGA-G2-A2ES	25
TCGA-G2-A3IB	25
TCGA-G2-A3IE	10
TCGA-G2-A3VY	17
TCGA-G2-AA3B	27
TCGA-G2-AA3D	10
TCGA-G2-AA3F	10
TCGA-GC-A3BM	10
TCGA-GC-A3I6	27
TCGA-GC-A3OO	20
TCGA-GC-A3RB	10
TCGA-GC-A3RC	27
TCGA-GC-A3RD	10
TCGA-GC-A3WC	27
TCGA-GC-A3YS	10
TCGA-GC-A4ZW	13
TCGA-GC-A6I1	25
TCGA-GC-A6I3	10
TCGA-GD-A2C5	13
TCGA-GD-A3OP	20
TCGA-GD-A3OQ	7
TCGA-GD-A3OS	25
TCGA-GD-A6C6	7
TCGA-GD-A76B	20
TCGA-GU-A42P	13
TCGA-GU-A42Q	10
TCGA-GU-A42R	10
TCGA-GU-A762	27
TCGA-GU-A763	7
TCGA-GU-A764	20
TCGA-GU-A766	27
TCGA-GU-A767	20
TCGA-GU-AATO	27
TCGA-GU-AATP	2
TCGA-GU-AATQ	7
TCGA-GV-A3JV	20
TCGA-GV-A3JW	10
TCGA-GV-A3JX	13
TCGA-GV-A3JZ	2
TCGA-GV-A3QF	10
TCGA-GV-A3QG	20
TCGA-GV-A3QH	2
TCGA-GV-A3QI	8
TCGA-GV-A3QK	25
TCGA-GV-A40E	10
TCGA-GV-A40G	13
TCGA-GV-A6ZA	7
TCGA-H4-A2HO	20
TCGA-H4-A2HQ	7
TCGA-HQ-A2OE	22
TCGA-HQ-A2OF	2
TCGA-HQ-A5ND	25
TCGA-HQ-A5NE	27
TCGA-K4-A3WS	20
TCGA-K4-A3WU	20
TCGA-K4-A3WV	17
TCGA-K4-A4AB	10
TCGA-K4-A4AC	27
TCGA-K4-A54R	27
TCGA-K4-A5RH	3
TCGA-K4-A5RI	7
TCGA-K4-A5RJ	3
TCGA-K4-A6FZ	27
TCGA-K4-A6MB	10
TCGA-K4-A83P	20
TCGA-K4-AAQO	20
TCGA-KQ-A41N	13
TCGA-KQ-A41O	7
TCGA-KQ-A41P	13
TCGA-KQ-A41Q	27
TCGA-KQ-A41R	27
TCGA-KQ-A41S	20
TCGA-LC-A66R	27
TCGA-LT-A5Z6	27
TCGA-LT-A8JT	17
TCGA-MV-A51V	2
TCGA-PQ-A6FI	10
TCGA-PQ-A6FN	27
TCGA-R3-A69X	20
TCGA-S5-A6DX	20
TCGA-S5-AA26	7
TCGA-SY-A9G0	20
TCGA-SY-A9G5	10
TCGA-UY-A78K	20
TCGA-UY-A78L	27
TCGA-UY-A78M	25
TCGA-UY-A78N	10
TCGA-UY-A78O	25
TCGA-UY-A78P	20
TCGA-UY-A8OB	27
TCGA-UY-A8OC	7
TCGA-UY-A8OD	2
TCGA-UY-A9PA	27
TCGA-UY-A9PB	27
TCGA-UY-A9PD	10
TCGA-UY-A9PE	10
TCGA-UY-A9PF	13
TCGA-UY-A9PH	10
TCGA-XF-A8HB	27
TCGA-XF-A8HC	27
TCGA-XF-A8HD	27
TCGA-XF-A8HE	10
TCGA-XF-A8HF	7
TCGA-XF-A8HG	17
TCGA-XF-A8HH	20
TCGA-XF-A8HI	7
TCGA-XF-A9SH	27
TCGA-XF-A9SI	20
TCGA-XF-A9SJ	27
TCGA-XF-A9SK	10
TCGA-XF-A9SL	20
TCGA-XF-A9SM	27
TCGA-XF-A9SP	20
TCGA-XF-A9SU	10
TCGA-XF-A9SV	25
TCGA-XF-A9SW	20
TCGA-XF-A9SX	3
TCGA-XF-A9SY	27
TCGA-XF-A9SZ	20
TCGA-XF-A9T0	13
TCGA-XF-A9T2	20
TCGA-XF-A9T3	20
TCGA-XF-A9T4	25
TCGA-XF-A9T5	10
TCGA-XF-A9T6	27
TCGA-XF-A9T8	27
TCGA-XF-AAME	20
TCGA-XF-AAMG	8
TCGA-XF-AAMH	2
TCGA-XF-AAMJ	20
TCGA-XF-AAML	13
TCGA-XF-AAMQ	7
TCGA-XF-AAMR	20
TCGA-XF-AAMT	10
TCGA-XF-AAMW	27
TCGA-XF-AAMX	13
TCGA-XF-AAMY	10
TCGA-XF-AAMZ	25
TCGA-XF-AAN0	20
